Nom Adresse,Adresse,Colonne 3,AdresseID,Préfix,Num,BisTer,TypeRue,Nom Rue,CodePostal,Ville,Cedex,Pays,AdresseForcee,AdresseRue,AdresseExacte,AdresseGeo,Parent,AdresseParentID
Boulangerie - Au Pain de mon Grand-père - Nancy - Place des vosges,"22B Pl. des Vosges, 54000, Nancy, France",Rue,A-R-L0019,,22,B,Pl.,des Vosges,54000,Nancy,,France,,22 B Pl. des Vosges,"22 B Pl. des Vosges, 54000, Nancy, France","22 B Pl. des Vosges, 54000, Nancy, France",Quartier - Nancy - Place des Vosges,A-Q-L0191
"Boulangerie Maison Charlise, Epinal","6 Avenue du Maréchal de Lattre de Tassigny, 88000, Épinal, France",Rue,A-R-L0020,,6,,Av.,du Maréchal de Lattre de Tassigny,88000,Épinal,,France,,6 Av. du Maréchal de Lattre de Tassigny,"6 Av. du Maréchal de Lattre de Tassigny, 88000, Épinal, France","6 Av. du Maréchal de Lattre de Tassigny, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
Boulangerie Nédélec,"24 Quai de Dogneville, 88000 Épinal",Rue,A-R-L0021,,24,,Quai,de Dogneville,88000,Épinal,,France,,24 Quai de Dogneville,"24 Quai de Dogneville, 88000, Épinal, France","24 Quai de Dogneville, 88000, Épinal, France",Quartier - Epinal - Musée de l'image,A-Q-L0171
Box Stockage & Déménageur - Nancy Pulnoy,"3 rue Mendès France, 54425 , Pulnoy, France",Rue,A-R-L0022,,3,,Rue,Mendès France,54425,Pulnoy,,France,,3 Rue Mendès France,"3 Rue Mendès France, 54425, Pulnoy, France","3 Rue Mendès France, 54425, Pulnoy, France",Quartier - Pulnoy Nancy - Zone Activité Commerciale,A-Q-L0207
Cabaia - La Paillote d'Or - Nancy,"34 Rue des Dominicains, 54000 Nancy, France",Rue,A-R-L0023,,34,,Rue,des Dominicains,54000,Nancy,,France,,34 Rue des Dominicains,"34 Rue des Dominicains, 54000, Nancy, France","34 Rue des Dominicains, 54000, Nancy, France",Quartier - Nancy - Place Stanislas,A-Q-L0192
Carrefour Epinal Jeuxey,"33 Rue Du Saut Du Cerf, 88000 Jeuxey",Rue,A-R-L0024,,33,,Rue,Du Saut Du Cerf,88000,Jeuxey,,France,,33 Rue Du Saut Du Cerf,"33 Rue Du Saut Du Cerf, 88000, Jeuxey, France","33 Rue Du Saut Du Cerf, 88000, Jeuxey, France",Quartier - Epinal - Le sault le cerf (Jeuxey),A-Q-L0167
Carrefour Heilliecourt Nancy,"67 Grande Rue, 54180, Heillecourt, France",Rue,A-R-L0025,,67,,,Grande Rue,54180,Heillecourt,,France,,67 Grande Rue,"67 Grande Rue, 54180, Heillecourt, France","67 Grande Rue, 54180, Heillecourt, France",Quartier - Heillecourt Nancy - Zone Activité Commercial,A-Q-L0175
Casa De Pizza - Nancy,"27 Av. de la Libération, 54520, Laxou, France",Rue,A-R-L0026,,27,,Av.,de la Libération,54520,Laxou,,France,,27 Av. de la Libération,"27 Av. de la Libération, 54520, Laxou, France","27 Av. de la Libération, 54520, Laxou, France",Quartier - Villers Les Nancy - Saurupt,A-Q-L0219
Cash Express - Nancy,"7 Rue du Dr Schmitt, 54000 Nancy",Rue,A-R-L0027,,7,,Rue,du Dr Schmitt,54000,Nancy,,France,,7 Rue du Dr Schmitt,"7 Rue du Dr Schmitt, 54000, Nancy, France","7 Rue du Dr Schmitt, 54000, Nancy, France",Quartier - Nancy - Place des Vosges,A-Q-L0191
Castrorama - Vandoeuvre,"5 Rue Bernard Palissy, 54500 Vandœuvre-lès-Nancy, France",Rue,A-R-L0028,,5,,Rue,Bernard Palissy,54500,Vandœuvre-lès-Nancy,,France,,5 Rue Bernard Palissy,"5 Rue Bernard Palissy, 54500, Vandœuvre-lès-Nancy, France","5 Rue Bernard Palissy, 54500, Vandœuvre-lès-Nancy, France",Quartier - Vandoeuvre les Nancy - Zone Commerciale Leclerc,A-Q-L0216
Chez Gaston - Restaurant Epinal,"23 Rue des États Unis, 88000, Épinal, France",Rue,A-R-L0029,,23,,Rue,des États Unis,88000,Épinal,,France,,23 Rue des États Unis,"23 Rue des États Unis, 88000, Épinal, France","23 Rue des États Unis, 88000, Épinal, France",Quartier - Epinal - Gare,A-Q-L0163
Chicken Street - Magasin Nancy,"16 Av. du Général Leclerc, 54000, Nancy, France",Rue,A-R-L0030,,16,,Av.,du Général Leclerc,54000,Nancy,,France,,16 Av. du Général Leclerc,"16 Av. du Général Leclerc, 54000, Nancy, France","16 Av. du Général Leclerc, 54000, Nancy, France",Quartier - Nancy - Place des Vosges,A-Q-L0191
CIC Banque - Agence Ambérieu en Bugey,"13 Rue Alexandre Bérard, 01500, Ambérieu-en-Bugey, France",Rue,A-R-L0031,,13,,Rue,Alexandre Bérard,01500,Ambérieu-en-Bugey,,France,,13 Rue Alexandre Bérard,"13 Rue Alexandre Bérard, 01500, Ambérieu-en-Bugey, France","13 Rue Alexandre Bérard, 01500, Ambérieu-en-Bugey, France",Quartier - Amberieu - Hôtel de ville,A-Q-L0153
CINÉS PALACE - Cinéma - Epinal,"50 Rue Saint-Michel, 88000, Épinal, France",Rue,A-R-L0032,,50,,Rue,Saint-Michel,88000,Épinal,,France,,50 Rue Saint-Michel,"50 Rue Saint-Michel, 88000, Épinal, France","50 Rue Saint-Michel, 88000, Épinal, France",Quartier - Epinal - Patinoire,A-Q-L0172
CIQ - Rive Gauche - Epinal,"16 rue du boudiou, 88000 épinal, France",Rue,A-R-L0033,,16,,Rue,du boudiou,88000,Épinal,,France,,16 Rue du boudiou,"16 Rue du boudiou, 88000, Épinal, France","16 Rue du boudiou, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
Columbus Café - Epinal,"4 Rue des Minimes, 88000 Épinal, France",Rue,A-R-L0034,,4,,Rue,des Minimes,88000,Épinal,,France,,4 Rue des Minimes,"4 Rue des Minimes, 88000, Épinal, France","4 Rue des Minimes, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
CPAM Nancy,"9 Bd Joffre, 54000 Nancy",Rue,A-R-L0035,,9,,Bd.,Joffre,54000,Nancy,,France,,9 Bd. Joffre,"9 Bd. Joffre, 54000, Nancy, France","9 Bd. Joffre, 54000, Nancy, France",Quartier - Nancy - Gare,A-Q-L0187
CPBourg,"20 Chem. de la Providence, 01000, Bourg-en-Bresse, France",Rue,A-R-L0036,,20,,Chem.,de la Providence,01000,Bourg-en-Bresse,,France,,20 Chem. de la Providence,"20 Chem. de la Providence, 01000, Bourg-en-Bresse, France","20 Chem. de la Providence, 01000, Bourg-en-Bresse, France",Quartier - Bourg - Ainterexpo,A-Q-L0157
D'click Studio - Epinal,"22 Rue Saint-Michel, 88000 Épinal, France",Rue,A-R-L0037,,22,,Rue,Saint-Michel,88000,Épinal,,France,,22 Rue Saint-Michel,"22 Rue Saint-Michel, 88000, Épinal, France","22 Rue Saint-Michel, 88000, Épinal, France",Quartier - Epinal - Patinoire,A-Q-L0172
Decathlon - Epinal,"13 Av. de Saint-Dié, 88000 Épinal, France",Rue,A-R-L0038,,13,,Av.,de Saint-Dié,88000,Épinal,,France,,13 Av. de Saint-Dié,"13 Av. de Saint-Dié, 88000, Épinal, France","13 Av. de Saint-Dié, 88000, Épinal, France",Quartier - Epinal - Centre des Congrès,A-Q-L0162
Départemement - Meurthe & Moselle,"1 Pl. Stanislas, 54000 Nancy, France",Département,A-D-L0039,,1,,Pl.,Stanislas,54000,Nancy,,France,,1 Pl. Stanislas,"1 Pl. Stanislas, 54000, Nancy, France","1 Pl. Stanislas, 54000, Nancy, France",Région - Grand Est,A-R-L0233
Départemement - Vosges,"9 Rue Général Leclerc, 88000 Épinal",Département,A-D-L0040,,9,,Rue,Général Leclerc,88000,Épinal,,France,,9 Rue Général Leclerc,"9 Rue Général Leclerc, 88000, Épinal, France","9 Rue Général Leclerc, 88000, Épinal, France",Région - Grand Est,A-R-L0233
Département - Ain,"Pl. de l'Hôtel de ville, 01012 Bourg-en-Bresse, France",Département,A-D-L0041,,,,Pl.,l'Hôtel de ville,01012,Bourg-en-Bresse,,France,,Pl. l'Hôtel de ville,"Pl. l'Hôtel de ville, 01012, Bourg-en-Bresse, France","Pl. l'Hôtel de ville, 01012, Bourg-en-Bresse, France",Région - Auvergne Rhône Alpes,A-R-L0225
Département - Alpes-de-Haute-Provence,"1 Bd Martin Bret, 04990 Digne-les-Bains, France",Département,A-D-L0042,,1,,Bd.,Martin Bret,04990,Digne-les-Bains,,France,,1 Bd. Martin Bret,"1 Bd. Martin Bret, 04990, Digne-les-Bains, France","1 Bd. Martin Bret, 04990, Digne-les-Bains, France",Région - Provence-Alpes-Côte d'Azur,A-R-L0237
Département - Bucharest,"Bulevardul Regina Elisabeta 47, București 030167, Roumanie",Département,A-D-L0043,Bulevardul Regina Elisabeta ,47,,,,,Bucharest,,Roumanie,,Bulevardul Regina Elisabeta  47,"Bulevardul Regina Elisabeta  47, Bucharest, Roumanie","Bulevardul Regina Elisabeta  47, Bucharest, Roumanie",Région - Bucharest,A-R-L0228
Département - Chine de l'Est,"200 Renmin Ave, People's Square, Huangpu, Shanghai, Chine, 200003",Département,A-D-L0044,,200,,Renmin Ave,"People's Square, Huangpu",,Shanghai,,Chine,,"200 Renmin Ave People's Square, Huangpu","200 Renmin Ave People's Square, Huangpu, Shanghai, Chine","200 Renmin Ave People's Square, Huangpu, Shanghai, Chine",Région - Chine de l'Est,A-R-L0231
Département - Gironde," Pl. Pey Berland, 33000 Bordeaux cedex",Département,A-D-L0045,,,,Pl.,Pey Berland,33000,Bordeaux,,France,,Pl. Pey Berland,"Pl. Pey Berland, 33000, Bordeaux, France","Pl. Pey Berland, 33000, Bordeaux, France",Région -  Nouvelle-Aquitaine,A-R-L0224
Département - Hollande-Méridionale,"9 Kalvermarkt, La Haye, Pays-Bas",Département,A-D-L0046,,9,,,Kalvermarkt,,La Hays,,Pays-Bas,,9 Kalvermarkt,"9 Kalvermarkt, La Hays, Pays-Bas","9 Kalvermarkt, La Hays, Pays-Bas",Région - Rijnmond (NED),A-R-L0238
Département - Ille et Villaine,"1 place de la Mairie, 35000 Rennes",Département,A-D-L0047,,,,,de la Mairie,,,,,,de la Mairie,de la Mairie,de la Mairie,Région - Bretagne,A-R-L0227
Département - Indre-et-Loire,"361 Pl. Jean Jaurès, 37000 Tours, France",Département,A-D-L0048,,361,,Pl.,Jean Jaurès,37000,Tours,,France,,361 Pl. Jean Jaurès,"361 Pl. Jean Jaurès, 37000, Tours, France","361 Pl. Jean Jaurès, 37000, Tours, France",Région - Centre-Val de Loire,A-R-L0230
Département - Land de Berlin,"Rotes Rathaus, Rathausstraße 15, 10178 Berlin, Allemagne",Département,A-D-L0049,,,,,"Rotes Rathaus, Rathausstraße 15",10178 ,Berlin,,Allemagne,,"Rotes Rathaus, Rathausstraße 15","Rotes Rathaus, Rathausstraße 15, 10178 , Berlin, Allemagne","Rotes Rathaus, Rathausstraße 15, 10178 , Berlin, Allemagne",Région - Bezirk (Allemagne / Berlin),A-R-L0226
Département - New Castel ( USA),"87 Reads Way New Castle, DE 19720",Département,A-D-L0050,,87,,,Reads Wey,,New Castel,DE 19720,États-Unis,,87 Reads Wey,"87 Reads Wey, New Castel, DE 19720, États-Unis","87 Reads Wey, New Castel, DE 19720, États-Unis",Région - Delaware (USA),A-R-L0232
Département - Nord,"Place Augustin Laurent, 59800 Lille",Département,A-D-L0051,,,,Pl.,Augustin Laurent,59800,Lille,,France,,Pl. Augustin Laurent,"Pl. Augustin Laurent, 59800, Lille, France","Pl. Augustin Laurent, 59800, Lille, France",Région - Haut de France,A-R-L0234
Département - Paris,"15 Pl. de l'Hôtel de Ville, 75004 Paris",Département,A-D-L0052,,15,,Pl.,de l'Hôtel de Ville,75004,Paris,,France,,15 Pl. de l'Hôtel de Ville,"15 Pl. de l'Hôtel de Ville, 75004, Paris, France","15 Pl. de l'Hôtel de Ville, 75004, Paris, France",Région - Ïle de France,A-R-L0235
Département - Rhône-Alpes,"1 Pl. de la Comédie, 69001 Lyon",Département,A-D-L0053,,1,,Pl.,de la Comédie,69001,Lyon,,France,,1 Pl. de la Comédie,"1 Pl. de la Comédie, 69001, Lyon, France","1 Pl. de la Comédie, 69001, Lyon, France",Région - Auvergne Rhône Alpes,A-R-L0225
Département - San Francisco County,"1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, États-Unis",Département,A-D-L0054,,1,,, Dr Carlton B Goodlett Pl,,San Francisco,CA 94102,États-Unis,,1  Dr Carlton B Goodlett Pl,"1  Dr Carlton B Goodlett Pl, San Francisco, CA 94102, États-Unis","1  Dr Carlton B Goodlett Pl, San Francisco, CA 94102, États-Unis",Région - Californie,A-R-L0229
Département - Seattle,"600 4th Ave, Seattle, WA 98104, États-Unis",Département,A-D-L0055,,600,,,4th Ave,,Seattle,WA 98104,États-Unis,,600 4th Ave,"600 4th Ave, Seattle, WA 98104, États-Unis","600 4th Ave, Seattle, WA 98104, États-Unis",Région - Washington,A-R-L0239
Département - Seine-Maritime,"2 Pl. du Général de Gaulle, 76000 Rouen",Département,A-D-L0056,,2,,Pl.,du Général de Gaulle,76000,Rouen,,France,,2 Pl. du Général de Gaulle,"2 Pl. du Général de Gaulle, 76000, Rouen, France","2 Pl. du Général de Gaulle, 76000, Rouen, France",Région - Normandie,A-R-L0236
Département - Var,"282 Av. de la République, 83000, Toulon, France",Département,A-D-L0057,,282,,Av.,de la République,83000,Toulon,,France,,282 Av. de la République,"282 Av. de la République, 83000, Toulon, France","282 Av. de la République, 83000, Toulon, France",Région - Provence-Alpes-Côte d'Azur,A-R-L0237
Dépatement - Vosges,"9 Rue Général Leclerc, 88000 Épinal",Département,A-D-L0058,,9,,Rue,Général Leclerc,88000,Épinal,,France,,9 Rue Général Leclerc,"9 Rue Général Leclerc, 88000, Épinal, France","9 Rue Général Leclerc, 88000, Épinal, France",Région - Grand Est,A-R-L0233
Diplodocus Films - Spectacle Improvisation Nancy,"54 Rue des Chevrottes, 54600, Villers-lès-Nancy, France",Rue,A-R-L0059,,54,,Rue,des Chevrottes,54600,Villers-lès-Nancy,,France,,54 Rue des Chevrottes,"54 Rue des Chevrottes, 54600, Villers-lès-Nancy, France","54 Rue des Chevrottes, 54600, Villers-lès-Nancy, France",Quartier - Villers Les Nancy - Match,A-Q-L0218
Docteur Corneliu Dudau,"2 Rue de la Marne, 88000 Épinal, France",Rue,A-R-L0060,,2,,Rue,de la Marne,88000,Épinal,,France,,2 Rue de la Marne,"2 Rue de la Marne, 88000, Épinal, France","2 Rue de la Marne, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
Docteur Guy Jullière,"9 Bd du Docteur Cattenoz, 54600, Villers-lès-Nancy, France",Rue,A-R-L0061,,9,,Bd.,du Docteur Cattenoz,54600,Villers-lès-Nancy,,France,,9 Bd. du Docteur Cattenoz,"9 Bd. du Docteur Cattenoz, 54600, Villers-lès-Nancy, France","9 Bd. du Docteur Cattenoz, 54600, Villers-lès-Nancy, France",Quartier - Villers Les Nancy - Saurupt,A-Q-L0219
EDF - GDF - Siège Social,"30 avenue de Wagram, 75008 Paris, France",Rue,A-R-L0062,,30,,Av.,Wagram,75008,Paris,,France,,30 Av. Wagram,"30 Av. Wagram, 75008, Paris, France","30 Av. Wagram, 75008, Paris, France",Quartier - Paris - Arc de Triomphe,A-Q-L0195
Electro Depot - Magasin Houdemont Nancy,"6 Rue Charles Sellier, 54180, Houdemont, France",Rue,A-R-L0063,,6,,Rue,Charles Sellier,54180,Houdemont,,France,,6 Rue Charles Sellier,"6 Rue Charles Sellier, 54180, Houdemont, France","6 Rue Charles Sellier, 54180, Houdemont, France",Quartier - Heillecourt Nancy - Zone Activité Commercial,A-Q-L0175
Esprit Jeu - Siège social,"15 Rue du Moulin à Poudre, 76150, Maromme, France",Rue,A-R-L0064,,15,,Rue,du Moulin à Poudre,76150,Maromme,,France,,15 Rue du Moulin à Poudre,"15 Rue du Moulin à Poudre, 76150, Maromme, France","15 Rue du Moulin à Poudre, 76150, Maromme, France",Quartier - Maromme - Moulin à Poudre,A-Q-L0182
EVA Nancy - Bar & Annimation,"17 Rue Grand Rabbin Haguenauer, 54000, Nancy, France",Rue,A-R-L0065,,17,,Rue,Grand Rabbin Haguenauer,54000,Nancy,,France,,17 Rue Grand Rabbin Haguenauer,"17 Rue Grand Rabbin Haguenauer, 54000, Nancy, France","17 Rue Grand Rabbin Haguenauer, 54000, Nancy, France",Quartier - Nancy - Centre Saint Seb,A-Q-L0184
Exo Boutik,"22 Rue des États Unis, 88000 Épinal, France",Rue,A-R-L0066,,22,,Rue,des États Unis,88000,Épinal,,France,,22 Rue des États Unis,"22 Rue des États Unis, 88000, Épinal, France","22 Rue des États Unis, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
"Famille Paydas (Fanny / Fafa, Amine & Ritej)","4 Pl. des Vosges, 54000 Nancy, France",Rue,A-R-L0067,,4,,Pl.,des Vosges,54000,Nancy,,France,,4 Pl. des Vosges,"4 Pl. des Vosges, 54000, Nancy, France","4 Pl. des Vosges, 54000, Nancy, France",Quartier - Nancy - Place des Vosges,A-Q-L0191
Festival des Pains - Sarl Charlise - Boulangerie - Epinal (lorette),"33 Rue Notre Dame de Lorette, 88000, Épinal, France",Rue,A-R-L0068,,33,,Rue,Notre Dame de Lorette,88000,Épinal,,France,,33 Rue Notre Dame de Lorette,"33 Rue Notre Dame de Lorette, 88000, Épinal, France","33 Rue Notre Dame de Lorette, 88000, Épinal, France",Quartier - Epinal - Lapique,A-Q-L0166
Fete forraine - Epinal,"31 Av. Gambetta, 88000 Épinal, France",Rue,A-R-L0069,,31,,Av.,Gambetta,88000,Épinal,,France,,31 Av. Gambetta,"31 Av. Gambetta, 88000, Épinal, France","31 Av. Gambetta, 88000, Épinal, France",Quartier - Epinal - Marché couvert,A-Q-L0169
Feuillette - Boulangerie - Heilliecourt,"1 Rue des Coteaux, 54180 Heillecourt, France",Rue,A-R-L0070,,1,,Rue,des Coteaux,54180,Heillecourt,,France,,1 Rue des Coteaux,"1 Rue des Coteaux, 54180, Heillecourt, France","1 Rue des Coteaux, 54180, Heillecourt, France",Quartier - Heillecourt Nancy - Zone Activité Commercial,A-Q-L0175
France Travail - Nancy,"22 rue François Neufchâteau, 54000 NANCY, France",Rue,A-R-L0071,,22,,Rue,François Neufchâteau,54600,Nancy,,France,,22 Rue François Neufchâteau,"22 Rue François Neufchâteau, 54600, Nancy, France","22 Rue François Neufchâteau, 54600, Nancy, France",Quartier - Nancy - IUT Nancy Charlemagne,A-Q-L0188
Free - Siège Social," 16 rue de la Ville l'Evêque 75008 Paris, France",Rue,A-R-L0072,,16,,Rue, de la Ville l'Evêque,75008,Paris,,France,,16 Rue  de la Ville l'Evêque,"16 Rue  de la Ville l'Evêque, 75008, Paris, France","16 Rue  de la Ville l'Evêque, 75008, Paris, France",Quartier - Paris - Arc de Triomphe,A-Q-L0195
Fresh 'n Rebel - Siège social,"Linatebaan 101, 3045 AH Rotterdam, Pays-Bas",Rue,A-R-L0073,Linatebaan 101,3045,AH,,,,Rotterdam,,Pays-Bas,,Linatebaan 101 3045 AH,"Linatebaan 101 3045 AH, Rotterdam, Pays-Bas","Linatebaan 101 3045 AH, Rotterdam, Pays-Bas",Quartier - Rotterdam (Pays Bas) - Aéroport,A-Q-L0209
Fujiyama Epinal,"21 Rue de la Maix, 88000 Épinal, France",Rue,A-R-L0074,,21,,Rue,de la Maix,88000,Épinal,,France,,21 Rue de la Maix,"21 Rue de la Maix, 88000, Épinal, France","21 Rue de la Maix, 88000, Épinal, France",Quartier - Epinal - Place des vosges,A-Q-L0173
FUN 88 Boutique info,"6 Quai du Musée, 88000 Épinal, France",Rue,A-R-L0075,,6,,Quai,du Musée,88000,Épinal,,France,,6 Quai du Musée,"6 Quai du Musée, 88000, Épinal, France","6 Quai du Musée, 88000, Épinal, France",Quartier - Epinal - Marché couvert,A-Q-L0169
Garage Automobile - Charlemagne - Nancy,"24 Rue Madame de Vannoz, 54000, Nancy, France",Rue,A-R-L0076,,24,,Rue,Madame de Vannoz,54000,Nancy,,France,,24 Rue Madame de Vannoz,"24 Rue Madame de Vannoz, 54000, Nancy, France","24 Rue Madame de Vannoz, 54000, Nancy, France",Quartier - Nancy - IUT Nancy Charlemagne,A-Q-L0188
GBA - Siège Social,"3 Avenue Arsène d'Arsonval, 01000, Bourg-en-Bresse, France",Rue,A-R-L0077,,3,,Av.,Arsène d'Arsonval,01000,Bourg-en-Bresse,,France,,3 Av. Arsène d'Arsonval,"3 Av. Arsène d'Arsonval, 01000, Bourg-en-Bresse, France","3 Av. Arsène d'Arsonval, 01000, Bourg-en-Bresse, France",Quartier - Bourg - La Neuve,A-Q-L0159
