TexteRecherche,TiersID,TypeTiersID,NomCode,DateCode,Type,Nom,Adresse,AdresseID,DateCreation,DateCloture,PortefeuilleID
ANTAI - Amandes Auto,T#TT-PUB-SE-TRÉ#251101#ANTAI__AMANDES_,TT-PUB-SE-TRÉ,ANTAI__AMANDES_,251101,Public & Assimilé / Service public / Trésor Public,ANTAI - Amandes Auto,ANTAI - Amandes autoroutières - Centre de preception de Rennes,A-R-L0008,01/11/2025,,
Starbucks Coffee - Nancy Gare,T#TT-COM-RE-BAR#991230#STARBUCKS_COFFE,TT-COM-RE-BAR,STARBUCKS_COFFE,991230,Commerce & Activité / Restauration / Bar & Café,Starbucks Coffee - Nancy Gare,Starbucks Coffee - Gare Nancy,A-R-L0247,,,
Hall Du livre - Nancy,T#TT-COM-SP-LIB#991230#HALL_DU_LIVRE__,TT-COM-SP-LIB,HALL_DU_LIVRE__,991230,Commerce & Activité / Spécialisé / Librairie & Fourniture de bureau,Hall du livre,Hall du livre - Nancy,A-R-L0080,,,
Antalya Snack - Epinal - Kebab,T#TT-COM-RE-RES#250908#ANTALYA_SNACK__,TT-COM-RE-RES,ANTALYA_SNACK__,250908,Commerce & Activité / Restauration / Restaurant,Kebab - Antalya Snack,Antalya Snack - Epinal - Kebab,A-R-L0009,08/09/2025,,
Aux délices d'Antonin - Epinal,T#TT-COM-RE-BOU#251101#AUX_DLICES_DANT,TT-COM-RE-BOU,AUX_DLICES_DANT,251101,Commerce & Activité / Restauration / Boulangerie,Aux délices d'Antonin,Aux delices d'antonin - Epinal,A-R-L0010,01/11/2025,,
Back Market,T#TT-COM-NU-INT#251101#BACK_MARKET____,TT-COM-NU-INT,BACK_MARKET____,251101,Commerce & Activité / Numérique / Internet (Site marchant),Back Market,Back market,A-R-L0011,01/11/2025,,
Bar Vedettes - Le Bar des Vedettes - Nancy - Place des Vosges,T#TT-COM-RE-BAR#250716#BAR_VEDETTES__L,TT-COM-RE-BAR,BAR_VEDETTES__L,250716,Commerce & Activité / Restauration / Bar & Café,Le Bar des Vedettes (Pl des vosges),Bar Vedettes - Le Bar des Vedettes - Nancy - Place des Vosges,A-R-L0012,16/07/2025,,
Bessons Chaussures - Jeuxey,T#TT-COM-SP-VÊT#250701#BESSONS_CHAUSSU,TT-COM-SP-VÊT,BESSONS_CHAUSSU,250701,Commerce & Activité / Spécialisé / Vêtements & Accessoires Mode,Besson chaussure (88) ,Bessons Chaussures - Epinal Jeuxey - Le saut le cerf ,A-R-L0013,01/07/2025,,
Bidefender - Antivirus & VPN,T#TT-COM-NU-INT#250705#BIDEFENDER__ANT,TT-COM-NU-INT,BIDEFENDER__ANT,250705,Commerce & Activité / Numérique / Internet (Site marchant),Bitdefender,Bitdefender - Siège social,A-R-L0014,05/07/2025,,
BlaBlaCar,T#TT-MOB-IN-TRA#250901#BLABLACAR______,TT-MOB-IN-TRA,BLABLACAR______,250901,Mobilité & Logistique / Infrastructures / Transport en commun,BlaBlaCar,BlaBlaCar - Siège Social,A-R-L0015,01/09/2025,,
BMI - Bibliothèque Epinal,T#TT-PUB-SE-AUT#251001#BMI__BIBLIOTHQU,TT-PUB-SE-AUT,BMI__BIBLIOTHQU,251001,Public & Assimilé / Service public / Autres Services,BMI (Bibliothèque Epinal),BMI - Bibliothèque,A-R-L0016,01/10/2025,,
Board Game Arena - BGA,T#TT-COM-NU-PLA#250101#BOARD_GAME_AREN,TT-COM-NU-PLA,BOARD_GAME_AREN,250101,Commerce & Activité / Numérique / Plateforme,BGA,GBA - Siège Social,A-R-L0077,01/01/2025,,
Boucherie Maison Lecomte,T#TT-COM-SP-BOU#251101#BOUCHERIE_MAISO,TT-COM-SP-BOU,BOUCHERIE_MAISO,251101,Commerce & Activité / Spécialisé / Boucherie,Boucherie Maison Lecomte,Boucherie Lecompte,A-R-L0018,01/11/2025,,
Boulangerie - Au Pain de mon Grand-père - Nancy - Place des vosges,T#TT-COM-RE-BOU#250618#BOULANGERIE__AU,TT-COM-RE-BOU,BOULANGERIE__AU,250618,Commerce & Activité / Restauration / Boulangerie,Boulangerie (Pl des vosges),Boulangerie - Au Pain de mon Grand-père - Nancy - Place des vosges,A-R-L0019,18/06/2025,,
"Boulangerie Maison Charlise, Epinal",T#TT-COM-RE-BOU#250724#BOULANGERIE_MAI,TT-COM-RE-BOU,BOULANGERIE_MAI,250724,Commerce & Activité / Restauration / Boulangerie,Boulangerie Maison Charlise,"Boulangerie Maison Charlise, Epinal",A-R-L0020,24/07/2025,,
boulangerie Nedelec - Epinal,T#TT-COM-RE-BOU#250901#BOULANGERIE_NED,TT-COM-RE-BOU,BOULANGERIE_NED,250901,Commerce & Activité / Restauration / Boulangerie,Boulangerie Nédélec,Boulangerie Nédélec,A-R-L0021,01/09/2025,,
BOULANGERIE PÂTISSERIE MATCH LA FABRIQUE MAISON GRANDMAIRE,T#TT-COM-RE-RES#250624#BOULANGERIE_PTI,TT-COM-RE-RES,BOULANGERIE_PTI,250624,Commerce & Activité / Restauration / Restaurant,Boulangerie Grandmaire (MATCH),Supermarché MATCH & Commerces,A-R-L0250,24/06/2025,,
Cabaia - Sac & Accessoires -  Magasin La Paillote d'Or,T#TT-COM-SP-VÊT#250801#CABAIA__SAC__AC,TT-COM-SP-VÊT,CABAIA__SAC__AC,250801,Commerce & Activité / Spécialisé / Vêtements & Accessoires Mode,Cabaia (Sac & Accessoires),Cabaia - La Paillote d'Or - Nancy,A-R-L0023,01/08/2025,,
Carrefour Heilliecourt Nancy,T#TT-COM-DI-SUP#250821#CARREFOUR_HEILL,TT-COM-DI-SUP,CARREFOUR_HEILL,250821,Commerce & Activité / Distribution / Supermarché,Carrefour Heilliecourt Nancy,Carrefour Heilliecourt Nancy,A-R-L0025,21/08/2025,,
Carrefour Epinal Jeuxey,T#TT-COM-DI-SUP#991230#CARREFOUR_EPINA,TT-COM-DI-SUP,CARREFOUR_EPINA,991230,Commerce & Activité / Distribution / Supermarché,Carrefour Epinal Jeuxey,Carrefour Epinal Jeuxey,A-R-L0024,,,
Casa De Pizza - Nancy,T#TT-COM-RE-RES#250101#CASA_DE_PIZZA__,TT-COM-RE-RES,CASA_DE_PIZZA__,250101,Commerce & Activité / Restauration / Restaurant,Casa De Pizza ,Casa De Pizza - Nancy,A-R-L0026,01/01/2025,,
Cash Express - Nancy,T#TT-COM-SP-ÉLE#991230#CASH_EXPRESS__N,TT-COM-SP-ÉLE,CASH_EXPRESS__N,991230,Commerce & Activité / Spécialisé / Électro,Cash Express (Nancy),Cash Express - Nancy,A-R-L0027,,,
Castorama - Bricolage - Vandoeuvre,T#TT-COM-SP-BRI#250408#CASTORAMA__BRIC,TT-COM-SP-BRI,CASTORAMA__BRIC,250408,Commerce & Activité / Spécialisé / Bricolage & Aménagement,Castrorama - Vandoeuvre,Castrorama - Vandoeuvre,A-R-L0028,08/04/2025,,
Chez Gaston - Restaurant Epinal,T#TT-COM-RE-RES#250821#CHEZ_GASTON__RE,TT-COM-RE-RES,CHEZ_GASTON__RE,250821,Commerce & Activité / Restauration / Restaurant,Chez Gaston,Chez Gaston - Restaurant Epinal,A-R-L0029,21/08/2025,,
Chicken Street - Magasin Nancy,T#TT-COM-RE-RES#250101#CHICKEN_STREET_,TT-COM-RE-RES,CHICKEN_STREET_,250101,Commerce & Activité / Restauration / Restaurant,Chicken Street,Chicken Street - Magasin Nancy,A-R-L0030,01/01/2025,,
CIC Banque - Agence Ambérieu en Bugey,T#TT-SER-FI-BAN#250101#CIC_BANQUE__AGE,TT-SER-FI-BAN,CIC_BANQUE__AGE,250101,Services & Support / Financier / Banque,CIC,CIC Banque - Agence Ambérieu en Bugey,A-R-L0031,01/01/2025,,
Cinéma - CINÉS PALACE Epinal,T#TT-COM-LO-CIN#250720#CINMA__CINS_PAL,TT-COM-LO-CIN,CINMA__CINS_PAL,250720,Commerce & Activité / Loisirs / Cinéma,CINÉS PALACE,CINÉS PALACE - Cinéma - Epinal,A-R-L0032,20/07/2025,,
CIQ - Rive Gauche,T#TT-PUB-CO-ASS#250901#CIQ__RIVE_GAUCH,TT-PUB-CO-ASS,CIQ__RIVE_GAUCH,250901,Public & Assimilé / Collectif / Association,CIQ Rive Gauche ,CIQ - Rive Gauche - Epinal,A-R-L0033,01/09/2025,,
Colombus Café - Epinal,T#TT-COM-RE-RES#250827#COLOMBUS_CAF__E,TT-COM-RE-RES,COLOMBUS_CAF__E,250827,Commerce & Activité / Restauration / Restaurant,Colombus Café - Epinal,Columbus Café - Epinal,A-R-L0034,27/08/2025,,
CPAM - Nancy,T#TT-PUB-SE-SER#250901#CPAM__NANCY____,TT-PUB-SE-SER,CPAM__NANCY____,250901,Public & Assimilé / Service public / Services sociaux,CPAM (Nancy),CPAM Nancy,A-R-L0035,01/09/2025,,
CPBourg,T#TT-SER-TR-EMP#250101#CPBOURG______,TT-SER-TR-EMP,CPBOURG______,250101,Services & Support / Travail & Ressource / Employeur,CPBourg,CPBourg,A-R-L0036,01/01/2025,01/09/2025,
D'Click Studio - Epinal,T#TT-COM-SP-COR#251006#DCLICK_STUDIO__,TT-COM-SP-COR,DCLICK_STUDIO__,251006,"Commerce & Activité / Spécialisé / Cordonier, Serrurier & Assimilés",D'Click Studio,D'click Studio - Epinal,A-R-L0037,06/10/2025,,
Décathlon - Epinal,T#TT-COM-SP-SPO#251006#DCATHLON__EPINA,TT-COM-SP-SPO,DCATHLON__EPINA,251006,Commerce & Activité / Spécialisé / Sport,Décathlon - Epinal,Decathlon - Epinal,A-R-L0038,06/10/2025,,
Demenageur Breton - Nancy Pulnoy,T#TT-MOB-LO-LOG#250101#DEMENAGEUR_BRET,TT-MOB-LO-LOG,DEMENAGEUR_BRET,250101,Mobilité & Logistique / Logistique / Logistique,Déménageur Breton,Box Stockage & Déménageur - Nancy Pulnoy,A-R-L0022,01/01/2025,,
Diplodocus Films - Spectacle Improvisation Nancy,T#TT-PUB-CO-ASS#250624#DIPLODOCUS_FILM,TT-PUB-CO-ASS,DIPLODOCUS_FILM,250624,Public & Assimilé / Collectif / Association,Spectacle Impro (54),Diplodocus Films - Spectacle Improvisation Nancy,A-R-L0059,24/06/2025,,
Dr Dudau Corneliu  - Généraliste - Epinal,T#TT-PUB-SA-MÉD#251101#DR_DUDAU_CORNEL,TT-PUB-SA-MÉD,DR_DUDAU_CORNEL,251101,Public & Assimilé / Santé / Médecin,Docteur Dudau,Docteur Corneliu Dudau,A-R-L0060,01/11/2025,,
Dr Jullière Guy - Généraliste (MT) - Nancy,T#TT-PUB-SA-MÉD#250101#DR_JULLIRE_GUY_,TT-PUB-SA-MÉD,DR_JULLIRE_GUY_,250101,Public & Assimilé / Santé / Médecin,Docteur Jullière (Traitant),Docteur Guy Jullière,A-R-L0061,01/01/2025,,
EasyPark Stationnement Rue Nancy,T#TT-MOB-IN-PAR#250801#EASYPARK_STATIO,TT-MOB-IN-PAR,EASYPARK_STATIO,250801,Mobilité & Logistique / Infrastructures /  Parking,EasyPark Stationnement Nancy,Parking Pl. Colonel Driant - Nancy,A-R-L0137,01/08/2025,,
EDF & GDF - Electricité & Gaz de France,T#TT-PUB-AS-ELE#250801#EDF__GDF__ELECT,TT-PUB-AS-ELE,EDF__GDF__ELECT,250801,Public & Assimilé / Assimilé  / Electricité & Gaz,EDF - GDF,EDF - GDF - Siège Social,A-R-L0062,01/08/2025,,
Electro Depot - Magasin Houdemont Nancy,T#TT-COM-SP-ÉLE#250101#ELECTRO_DEPOT__,TT-COM-SP-ÉLE,ELECTRO_DEPOT__,250101,Commerce & Activité / Spécialisé / Électro,Electro Dépot,Electro Depot - Magasin Houdemont Nancy,A-R-L0063,01/01/2025,,
Epicerie - Epinal  Marché,T#TT-COM-SP-EPI#251101#EPICERIE__EPINA,TT-COM-SP-EPI,EPICERIE__EPINA,251101,Commerce & Activité / Spécialisé / Epicerie,Epicerie - Epinal  Marché,Marché couvert - Epinal,A-R-L0117,01/11/2025,,
Eric Famille,T#TT-SER-TR-PER#250728#ERIC_FAMILLE___,TT-SER-TR-PER,ERIC_FAMILLE___,250728,Services & Support / Travail & Ressource / Personne physique,Mitch,Mitch - Adresse CCAS Le Chaffaut,A-R-L0122,28/07/2025,,PTF#PR#PRET#MIT
EspritJeu.fr,T#TT-COM-NU-INT#250101#ESPRITJEUFR____,TT-COM-NU-INT,ESPRITJEUFR____,250101,Commerce & Activité / Numérique / Internet (Site marchant),Esprit Jeu,Esprit Jeu - Siège social,A-R-L0064,01/01/2025,,
EVA Nancy - Bar & Annimation,T#TT-COM-RE-BAR#250625#EVA_NANCY__BAR_,TT-COM-RE-BAR,EVA_NANCY__BAR_,250625,Commerce & Activité / Restauration / Bar & Café,EVA Bar & annimation,EVA Nancy - Bar & Annimation,A-R-L0065,25/06/2025,,
Exo Boutik,T#TT-COM-SP-PRO#251101#EXO_BOUTIK_____,TT-COM-SP-PRO,EXO_BOUTIK_____,251101,Commerce & Activité / Spécialisé / Produits Exotiques,Exo Boutik,Exo Boutik,A-R-L0066,01/11/2025,,
Festival des Pains - Sarl Charlise - Boulangerie - Epinal (lorette),T#TT-COM-RE-BOU#250726#FESTIVAL_DES_PA,TT-COM-RE-BOU,FESTIVAL_DES_PA,250726,Commerce & Activité / Restauration / Boulangerie,Boulangerie Charlise,Festival des Pains - Sarl Charlise - Boulangerie - Epinal (lorette),A-R-L0068,26/07/2025,,
Fête Forraine - Attraction,T#TT-COM-LO-ATT#250901#FTE_FORRAINE__A,TT-COM-LO-ATT,FTE_FORRAINE__A,250901,Commerce & Activité / Loisirs / Attraction,Vogue - Attraction,Fete forraine - Epinal,A-R-L0069,01/09/2025,01/11/2025,
Fête Forraine - Restauration,T#TT-COM-RE-RES#251006#FTE_FORRAINE__R,TT-COM-RE-RES,FTE_FORRAINE__R,251006,Commerce & Activité / Restauration / Restaurant,Vogue - Nouriture,Fete forraine - Epinal,A-R-L0069,06/10/2025,01/11/2025,
Feuillette - Boulangerie - Heilliecourt,T#TT-COM-RE-BOU#250915#FEUILLETTE__BOU,TT-COM-RE-BOU,FEUILLETTE__BOU,250915,Commerce & Activité / Restauration / Boulangerie,Feuillette - Boulangerrie,Feuillette - Boulangerie - Heilliecourt,A-R-L0070,15/09/2025,,
France Travail - Pole Emploi,T#TT-PUB-SE-SER#250701#FRANCE_TRAVAIL_,TT-PUB-SE-SER,FRANCE_TRAVAIL_,250701,Public & Assimilé / Service public / Services sociaux,France Travail,France Travail - Nancy,A-R-L0071,01/07/2025,,
Free,T#TT-COM-NU-FOU#250905#FREE______,TT-COM-NU-FOU,FREE______,250905,Commerce & Activité / Numérique / Fournisseur (Internet & Mobile),Free,Free - Siège Social,A-R-L0072,05/09/2025,,
Fresh 'n Rebel,T#TT-COM-NU-INT#250801#FRESH_N_REBEL__,TT-COM-NU-INT,FRESH_N_REBEL__,250801,Commerce & Activité / Numérique / Internet (Site marchant),Fresh 'n Rebel,Fresh 'n Rebel - Siège social,A-R-L0073,01/08/2025,31/12/2025,
Fromagerie - Epinal  Marché,T#TT-COM-SP-FRO#251101#FROMAGERIE__EPI,TT-COM-SP-FRO,FROMAGERIE__EPI,251101,Commerce & Activité / Spécialisé / Fromagerie,Fromagerie - Epinal  Marché,Marché couvert - Epinal,A-R-L0117,01/11/2025,,
Fujiyama - Restaurant,T#TT-COM-RE-RES#250904#FUJIYAMA__RESTA,TT-COM-RE-RES,FUJIYAMA__RESTA,250904,Commerce & Activité / Restauration / Restaurant,Fujiyama - sushi,Fujiyama Epinal,A-R-L0074,04/09/2025,,
FUN 88 Boutique info,T#TT-COM-SP-ÉLE#251120#FUN__BOUTIQUE_I,TT-COM-SP-ÉLE,FUN__BOUTIQUE_I,251120,Commerce & Activité / Spécialisé / Électro,Fun 88 (informatique),FUN 88 Boutique info,A-R-L0075,20/11/2025,,
Garage Automobile - Charlemagne - Nancy,T#TT-COM-SP-GAR#250617#GARAGE_AUTOMOBI,TT-COM-SP-GAR,GARAGE_AUTOMOBI,250617,Commerce & Activité / Spécialisé / Garage,Garage Charlemagne ,Garage Automobile - Charlemagne - Nancy,A-R-L0076,17/06/2025,,
GBA - Grand Bourg Agglo,T#TT-SER-TR-EMP#250701#GBA__GRAND_BOUR,TT-SER-TR-EMP,GBA__GRAND_BOUR,250701,Services & Support / Travail & Ressource / Employeur,GBA - Bourg-en-Bresse,GBA - Siège Social,A-R-L0077,01/07/2025,01/09/2025,
Grand Café Foy,T#TT-COM-RE-BAR#250621#GRAND_CAF_FOY__,TT-COM-RE-BAR,GRAND_CAF_FOY__,250621,Commerce & Activité / Restauration / Bar & Café,Café Foy - Pl Stanslas,Grand Café Foy - Place Stan - Nancy,A-R-L0078,21/06/2025,,
Green Bagel Café - Epinal,T#TT-COM-RE-BAR#250723#GREEN_BAGEL_CAF,TT-COM-RE-BAR,GREEN_BAGEL_CAF,250723,Commerce & Activité / Restauration / Bar & Café,Green Bagel Café,Green Bagel Café - Epinal,A-R-L0079,23/07/2025,,
HelloAsso,T#TT-PUB-CO-ASS#250623#HELLOASSO______,TT-PUB-CO-ASS,HELLOASSO______,250623,Public & Assimilé / Collectif / Association,HelloAsso,HelloAsso - Siège Social,A-R-L0081,23/06/2025,,
Hippopotamus - Epinal - Le saut le cerf ,T#TT-COM-RE-RES#250702#HIPPOPOTAMUS__E,TT-COM-RE-RES,HIPPOPOTAMUS__E,250702,Commerce & Activité / Restauration / Restaurant,Hippopotamus,Hippopotamus - Epinal Jeuxey - Le saut le cerf ,A-R-L0082,02/07/2025,,
Iello,T#TT-COM-LO-JEU#251001#IELLO______,TT-COM-LO-JEU,IELLO______,251001,Commerce & Activité / Loisirs / Jeux,Iello,Iello - Siège Social,A-R-L0084,01/10/2025,,
Imagine - Transport en Commun - Epinal,T#TT-MOB-IN-TRA#250827#IMAGINE__TRANSP,TT-MOB-IN-TRA,IMAGINE__TRANSP,250827,Mobilité & Logistique / Infrastructures / Transport en commun,Imagine - Transport en Commun,Imagine - Epinal - Siège Social,A-R-L0085,27/08/2025,,
Intermarché - Golbey / Epinal,T#TT-COM-DI-SUP#250723#INTERMARCH__GOL,TT-COM-DI-SUP,INTERMARCH__GOL,250723,Commerce & Activité / Distribution / Supermarché,Intermarché - Epinal,Intermarché - Epinal,A-R-L0087,23/07/2025,,
Intersport - Site Internet,T#TT-COM-NU-INT#250827#INTERSPORT__SIT,TT-COM-NU-INT,INTERSPORT__SIT,250827,Commerce & Activité / Numérique / Internet (Site marchant),Intersport - Site Internet,Intersport - Siège Social,A-R-L0090,27/08/2025,,
Intersport Nancy,T#TT-COM-SP-SPO#251101#INTERSPORT_NANC,TT-COM-SP-SPO,INTERSPORT_NANC,251101,Commerce & Activité / Spécialisé / Sport,Intersport - Nancy,Intersport - Nancy,A-R-L0089,01/11/2025,,
Impots,T#TT-PUB-SE-TRÉ#991230#IMPOTS______,TT-PUB-SE-TRÉ,IMPOTS______,991230,Public & Assimilé / Service public / Trésor Public,Impots,Impots - Centre des impots,A-R-L0086,,,
Netflix,T#TT-COM-NU-PLA#991230#NETFLIX______,TT-COM-NU-PLA,NETFLIX______,991230,Commerce & Activité / Numérique / Plateforme,Netflix,Netflix - Siege social,A-R-L0132,,,
Kes - Original Döner Kebak - Nancy,T#TT-COM-RE-RES#991230#KES__ORIGINAL_D,TT-COM-RE-RES,KES__ORIGINAL_D,991230,Commerce & Activité / Restauration / Restaurant,Kes (Kebab Nancy),KES (Kebab - Nancy) ,A-R-L0091,,,
Kiabi - essay les nancy - 54,T#TT-COM-SP-VÊT#250722#KIABI__ESSAY_LE,TT-COM-SP-VÊT,KIABI__ESSAY_LE,250722,Commerce & Activité / Spécialisé / Vêtements & Accessoires Mode,Kiabi,Kiabi - essay les nancy - 54,A-R-L0092,22/07/2025,,
L'Atelier Pizza - Epinal,T#TT-COM-RE-RES#250911#LATELIER_PIZZA_,TT-COM-RE-RES,LATELIER_PIZZA_,250911,Commerce & Activité / Restauration / Restaurant,L'atelier Pizza,L'Atelier Pizza - Epinal,A-R-L0093,11/09/2025,,
L'Epi Bleu - boulangerie - Epinal,T#TT-COM-RE-BOU#250909#LEPI_BLEU__BOUL,TT-COM-RE-BOU,LEPI_BLEU__BOUL,250909,Commerce & Activité / Restauration / Boulangerie,L'Epi Bleu - Epinal,L'Epi Bleu - boulangerie - Epinal,A-R-L0094,09/09/2025,,
La Boulange Dorée - epinal,T#TT-COM-RE-BOU#250902#LA_BOULANGE_DOR,TT-COM-RE-BOU,LA_BOULANGE_DOR,250902,Commerce & Activité / Restauration / Boulangerie,La Boulange Dorée,La Boulange Dorée - Place des Vosges - épinal,A-R-L0095,02/09/2025,,
La Casa Del Professor,T#TT-COM-RE-RES#251001#LA_CASA_DEL_PRO,TT-COM-RE-RES,LA_CASA_DEL_PRO,251001,Commerce & Activité / Restauration / Restaurant,La Casa Del Professor,La Casa Del Professor,A-R-L0096,01/10/2025,,
La caverne du Goblin - Jeux du Stan,T#TT-COM-LO-JEU#251123#LA_CAVERNE_DU_G,TT-COM-LO-JEU,LA_CAVERNE_DU_G,251123,Commerce & Activité / Loisirs / Jeux,La caverne du Goblin,Stade Marcel Picot - Nancy,A-R-L0245,23/11/2025,,
La caverne du Goblin - MTL - Heillecourt,T#TT-COM-LO-JEU#250913#LA_CAVERNE_DU_G,TT-COM-LO-JEU,LA_CAVERNE_DU_G,250913,Commerce & Activité / Loisirs / Jeux,La caverne du Goblin,MTL Maison du Temps Libre - Heilliecourt,A-R-L0128,13/09/2025,,
La comédie des Fleurs,T#TT-COM-SP-FLE#251001#LA_COMDIE_DES_F,TT-COM-SP-FLE,LA_COMDIE_DES_F,251001,Commerce & Activité / Spécialisé / Fleuriste,La comédie des Fleurs,La Comédie des Fleurs,A-R-L0097,01/10/2025,,
La Companie des animauux,T#TT-COM-SP-ANN#250813#LA_COMPANIE_DES,TT-COM-SP-ANN,LA_COMPANIE_DES,250813,Commerce & Activité / Spécialisé / Anniaux,La Companie des animauux,La Companie des animauux - Siège Social,A-R-L0098,13/08/2025,30/08/2025,
La Feinte de l'ours,T#TT-PUB-CO-ASS#250101#LA_FEINTE_DE_LO,TT-PUB-CO-ASS,LA_FEINTE_DE_LO,250101,Public & Assimilé / Collectif / Association,La feinte de l'ours,La feinte de l'ours - Nancy,A-R-L0099,01/01/2025,,
La mie caline,T#TT-COM-RE-BOU#250823#LA_MIE_CALINE__,TT-COM-RE-BOU,LA_MIE_CALINE__,250823,Commerce & Activité / Restauration / Boulangerie,La Mie Caline - Epinal,La Mie Caline - Epinal,A-R-L0100,23/08/2025,,
La poste online,T#TT-PUB-AS-POS#250901#LA_POSTE_ONLINE,TT-PUB-AS-POS,LA_POSTE_ONLINE,250901,Public & Assimilé / Assimilé / Poste,La poste online,La Poste Online,A-R-L0102,01/09/2025,,
Laboratoire Atoubio Villers-les-Nancy,T#TT-PUB-SA-LAB#250623#LABORATOIRE_ATO,TT-PUB-SA-LAB,LABORATOIRE_ATO,250623,Public & Assimilé / Santé / Laboratoire,Labo ATOUBIO,Laboratoire Atoubio Villers-les-Nancy,A-R-L0103,23/06/2025,,
Laos Khao Hom - Epinal Marché couvert,T#TT-COM-RE-RES#250905#LAOS_KHAO_HOM__,TT-COM-RE-RES,LAOS_KHAO_HOM__,250905,Commerce & Activité / Restauration / Restaurant,Laos Khao Hom,Marché couvert - Epinal,A-R-L0117,05/09/2025,,
LDLC - Nancy,T#TT-COM-SP-ÉLE#250101#LDLC__NANCY____,TT-COM-SP-ÉLE,LDLC__NANCY____,250101,Commerce & Activité / Spécialisé / Électro,LDLC,LDLC - Boutique Nancy - Heillecourt,A-R-L0104,01/01/2025,,
Le bon coin,T#TT-COM-NU-INT#250901#LE_BON_COIN____,TT-COM-NU-INT,LE_BON_COIN____,250901,Commerce & Activité / Numérique / Internet (Site marchant),Le bon coin,Le Bon Coin - Siège Social,A-R-L0105,01/09/2025,,
